佣兵ID,佣兵名称,稀有度,职业,性格标签,场景类型,台词序号,台词内容,字数,是否重点
H004,维克,传奇,剑盾卫士,古板骑士/守护型,战斗中,1,这盔甲贵，别往我这砍。,11,是
H004,维克,传奇,剑盾卫士,古板骑士/守护型,战斗中,2,你们打完了？该我上班了。,12,是
H004,维克,传奇,剑盾卫士,古板骑士/守护型,战斗中,3,荣誉不能当饭吃，但能挡刀。,13,是
H004,维克,传奇,剑盾卫士,古板骑士/守护型,酒馆刷新,1,盔甲刚擦亮，工资别拖欠。,12,是
H004,维克,传奇,剑盾卫士,古板骑士/守护型,酒馆刷新,2,卡门三次才进来，招我吗？,12,是
H004,维克,传奇,剑盾卫士,古板骑士/守护型,招募成功,1,包吃住就行，盔甲我自己擦。,13,是
H004,维克,传奇,剑盾卫士,古板骑士/守护型,MVP,1,看吧，老家伙还没生锈。,11,是
H004,维克,传奇,剑盾卫士,古板骑士/守护型,MVP,2,盾牌才是本体，我是挂件。,12,是
H004,维克,传奇,剑盾卫士,古板骑士/守护型,战死,1,盾我先搁这儿……你们顶住……,14,是
H010,凯恩,传奇,狂战士,热血莽夫/火焰狂,战斗中,1,都闪开，我要自燃了！,10,是
H010,凯恩,传奇,狂战士,热血莽夫/火焰狂,战斗中,2,血越少我越嗨，别奶我！,11,是
H010,凯恩,传奇,狂战士,热血莽夫/火焰狂,战斗中,3,这刀下去，敌人的发型没了。,13,是
H010,凯恩,传奇,狂战士,热血莽夫/火焰狂,酒馆刷新,1,有烤肉吗？没有我不走。,11,是
H010,凯恩,传奇,狂战士,热血莽夫/火焰狂,酒馆刷新,2,点个火助助兴？,7,是
H010,凯恩,传奇,狂战士,热血莽夫/火焰狂,招募成功,1,工资买把耐烧的刀就行。,11,是
H010,凯恩,传奇,狂战士,热血莽夫/火焰狂,MVP,1,全场最烫的男人！,8,是
H010,凯恩,传奇,狂战士,热血莽夫/火焰狂,MVP,2,看到没，火系才是浪漫。,11,是
H010,凯恩,传奇,狂战士,热血莽夫/火焰狂,战死,1,火灭了……帮我加点柴……,12,是
H014,伊芙,传奇,火系法师,优雅腹黑/破防专家,战斗中,1,你的防御，纸糊的吗？,10,是
H014,伊芙,传奇,火系法师,优雅腹黑/破防专家,战斗中,2,慢慢烧，我不赶时间。,10,是
H014,伊芙,传奇,火系法师,优雅腹黑/破防专家,战斗中,3,破甲之后，你更丑了。,10,是
H014,伊芙,传奇,火系法师,优雅腹黑/破防专家,酒馆刷新,1,终于有人懂得欣赏火焰了。,12,是
H014,伊芙,传奇,火系法师,优雅腹黑/破防专家,酒馆刷新,2,请我出手，价格不便宜。,11,是
H014,伊芙,传奇,火系法师,优雅腹黑/破防专家,招募成功,1,我会让敌人死得很有艺术感。,13,是
H014,伊芙,传奇,火系法师,优雅腹黑/破防专家,MVP,1,优雅，且致命。,7,是
H014,伊芙,传奇,火系法师,优雅腹黑/破防专家,MVP,2,破防，是我的专长。,9,是
H014,伊芙,传奇,火系法师,优雅腹黑/破防专家,战死,1,火焰……居然会先认输……,12,是
H003,塔克,稀有,剑盾卫士,操心盾卫,战斗中,1,站近点，别往盾外窜！,11,是
H003,塔克,稀有,剑盾卫士,操心盾卫,战斗中,2,盾墙立好了，自觉点。,10,是
H003,塔克,稀有,剑盾卫士,操心盾卫,酒馆刷新,1,团队缺盾吗？找我。,9,是
H003,塔克,稀有,剑盾卫士,操心盾卫,酒馆刷新,2,盾牌罩着，包你满意。,10,是
H003,塔克,稀有,剑盾卫士,操心盾卫,招募成功,1,我会把你们护得像鸡蛋。,11,是
H003,塔克,稀有,剑盾卫士,操心盾卫,MVP,1,没我举盾，你们早躺了。,11,是
H003,塔克,稀有,剑盾卫士,操心盾卫,战死,1,盾破了……你们自己保重……,13,是
H013,莫娜,稀有,雷系法师,洁癖法师/净化控,战斗中,1,脏死了，别蹭我法袍！,10,是
H013,莫娜,稀有,雷系法师,洁癖法师/净化控,战斗中,2,净化！全都给我变干净！,11,是
H013,莫娜,稀有,雷系法师,洁癖法师/净化控,酒馆刷新,1,这酒馆地板该拖了。,9,是
H013,莫娜,稀有,雷系法师,洁癖法师/净化控,酒馆刷新,2,只接爱干净的队伍。,9,是
H013,莫娜,稀有,雷系法师,洁癖法师/净化控,招募成功,1,我会把负面状态扫进垃圾桶。,15,是
H013,莫娜,稀有,雷系法师,洁癖法师/净化控,MVP,1,干净的战场，舒服。,9,是
H013,莫娜,稀有,雷系法师,洁癖法师/净化控,战死,1,我……不想倒在灰尘里……,12,是
H001,马库斯,普通,剑盾卫士,老实沙包,战斗中,1,打我啊，我皮厚。,8,否
H001,马库斯,普通,剑盾卫士,老实沙包,酒馆刷新,1,又是我，还是块盾。,9,否
H001,马库斯,普通,剑盾卫士,老实沙包,招募成功,1,我会努力当个好沙包。,10,否
H001,马库斯,普通,剑盾卫士,老实沙包,MVP,1,沙包也能拿MVP？,9,否
H001,马库斯,普通,剑盾卫士,老实沙包,战死,1,沙包……下班了……,9,否
H002,洛恩,稀有,剑盾卫士,站桩爱好者,战斗中,1,都别动，让我扛。,8,否
H002,洛恩,稀有,剑盾卫士,站桩爱好者,酒馆刷新,1,站桩型选手，了解一下。,11,否
H002,洛恩,稀有,剑盾卫士,站桩爱好者,招募成功,1,有我在，阵线不会退。,10,否
H002,洛恩,稀有,剑盾卫士,站桩爱好者,MVP,1,站桩也能MVP，神奇。,11,否
H002,洛恩,稀有,剑盾卫士,站桩爱好者,战死,1,阵地……失守了吗……,10,否
H005,米娅,普通,游侠,毒舌射手,战斗中,1,前面的，挡我箭了！,9,否
H005,米娅,普通,游侠,毒舌射手,酒馆刷新,1,话少活好，招吗？,8,否
H005,米娅,普通,游侠,毒舌射手,招募成功,1,给我留输出位，谢谢。,10,否
H005,米娅,普通,游侠,毒舌射手,MVP,1,看到没，远程才是真理。,11,否
H005,米娅,普通,游侠,毒舌射手,战死,1,近战……果然靠不住……,11,否
H006,希尔,稀有,游侠,风系急性子,战斗中,1,快点结束，我赶下场！,10,否
H006,希尔,稀有,游侠,风系急性子,酒馆刷新,1,风一样快，了解一下。,9,否
H006,希尔,稀有,游侠,风系急性子,招募成功,1,出发吧，别磨蹭。,8,否
H006,希尔,稀有,游侠,风系急性子,MVP,1,慢吞吞的可赢不了我。,10,否
H006,希尔,稀有,游侠,风系急性子,战死,1,速度……还是不够快……,11,否
H007,布罗克,普通,狂战士,粗犷大汉,战斗中,1,砍就完事了！,6,否
H007,布罗克,普通,狂战士,粗犷大汉,酒馆刷新,1,要力量吗？我很便宜。,10,否
H007,布罗克,普通,狂战士,粗犷大汉,招募成功,1,有仗打就行，别废话。,10,否
H007,布罗克,普通,狂战士,粗犷大汉,MVP,1,全是肌肉，没有技巧。,10,否
H007,布罗克,普通,狂战士,粗犷大汉,战死,1,斧子……举不动了……,10,否
H008,古恩,稀有,狂战士,旋风大汉,战斗中,1,转起来！全都转飞！,9,否
H008,古恩,稀有,狂战士,旋风大汉,酒馆刷新,1,来个能让我转圈的地方。,11,否
H008,古恩,稀有,狂战士,旋风大汉,招募成功,1,看我的大风车！,7,否
H008,古恩,稀有,狂战士,旋风大汉,MVP,1,横扫千军，就是有点晕。,11,否
H008,古恩,稀有,狂战士,旋风大汉,战死,1,转太多……站不稳了……,11,否
H009,莫丁,稀有,狂战士,单挑狂,战斗中,1,一个一个来，别插队！,10,否
H009,莫丁,稀有,狂战士,单挑狂,酒馆刷新,1,只接单挑，谢谢。,8,否
H009,莫丁,稀有,狂战士,单挑狂,招募成功,1,我会证明单挑的艺术。,10,否
H009,莫丁,稀有,狂战士,单挑狂,MVP,1,群殴？不，这是个人秀。,11,否
H009,莫丁,稀有,狂战士,单挑狂,战死,1,卑鄙……居然群殴我……,11,否
H011,索菲,普通,牧师,怕疼治疗,战斗中,1,我为什么要上前线啊！,10,否
H011,索菲,普通,牧师,怕疼治疗,酒馆刷新,1,会自愈的牧师，不亏。,10,否
H011,索菲,普通,牧师,怕疼治疗,招募成功,1,我会治疗，但请别让我挨打。,13,否
H011,索菲,普通,牧师,怕疼治疗,MVP,1,我居然还活着，还赢了？,11,否
H011,索菲,普通,牧师,怕疼治疗,战死,1,我就说……我不适合打架……,13,否
H012,塞拉,稀有,水系法师,温柔水法,战斗中,1,让我来浇灭你们的痛苦。,11,否
H012,塞拉,稀有,水系法师,温柔水法,酒馆刷新,1,需要一杯治疗之水吗？,10,否
H012,塞拉,稀有,水系法师,温柔水法,招募成功,1,愿流水守护你。,7,否
H012,塞拉,稀有,水系法师,温柔水法,MVP,1,温柔也是力量哦。,8,否
H012,塞拉,稀有,水系法师,温柔水法,战死,1,水……流尽了……,8,否
H015,艾拉,普通,游侠,冷酷射手,战斗中,1,目标确认，下一个。,9,否
H015,艾拉,普通,游侠,冷酷射手,酒馆刷新,1,职业射手，不闲聊。,9,否
H015,艾拉,普通,游侠,冷酷射手,招募成功,1,我会完成任务。,7,否
H015,艾拉,普通,游侠,冷酷射手,MVP,1,常规操作。,5,否
H015,艾拉,普通,游侠,冷酷射手,战死,1,失手了……,5,否
H016,杜娅,稀有,狂战士,豪爽女战,战斗中,1,妹妹我来了，接招！,9,否
H016,杜娅,稀有,狂战士,豪爽女战,酒馆刷新,1,要女战士吗？超能打。,10,否
H016,杜娅,稀有,狂战士,豪爽女战,招募成功,1,以后姐罩着你。,7,否
