佣兵ID,佣兵名称,佣兵稀有度,职业,主动技能ID,主动技能名称,主动技能稀有度,被动技能ID,被动技能名称,被动技能稀有度,设计说明
H001,马库斯,普通,剑盾卫士,—,—,—,SK006,格挡,普通,坦克定位，提供常驻格挡减伤
H005,米娅,普通,游侠,—,—,—,SK002,撕裂,普通,游侠通过流血增加持续输出
H007,布罗克,普通,狂战士,—,—,—,SK002,撕裂,普通,狂战普攻附加流血
H011,索菲,普通,牧师,—,—,—,SK012,自愈,普通,牧师战斗中持续自愈
H015,艾拉,普通,游侠,—,—,—,SK002,撕裂,普通,与米娅同定位，流血被动
H016,杜根,普通,狂战士,—,—,—,SK002,撕裂,普通,狂战流血被动
H017,莉娜,普通,牧师,—,—,—,SK012,自愈,普通,牧师自愈
H018,布朗,普通,剑盾卫士,—,—,—,SK006,格挡,普通,盾卫格挡
H019,艾琳,普通,法师,—,—,—,SK017,魔力涌动,普通,法师提升魔法伤害
H021,格拉克斯,普通,重武者,—,—,—,SK002,撕裂,普通,重武者依靠流血补足攻速慢的短板
H002,洛恩,稀有,剑盾卫士,SK007,坚守,普通,—,—,—,防御型主动：提升防御并嘲讽
H003,塔克,稀有,剑盾卫士,SK008,圣光庇护,稀有,—,—,—,团队护盾型主动
H006,希尔,稀有,游侠,SK001,疾风斩,普通,—,—,—,单体高伤物理主动
H008,古恩,稀有,狂战士,SK003,横扫千军,稀有,—,—,—,范围物理主动
H009,莫丁,稀有,狂战士,SK001,疾风斩,普通,—,—,—,单体爆发物理主动
H012,塞拉,稀有,水系法师,SK011,治愈之光,普通,—,—,—,单体治疗主动
H013,莫娜,稀有,雷系法师,SK013,净化之光,稀有,—,—,—,净化+治疗主动
H020,凯尔,稀有,法师,SK018,恐惧凝视,稀有,—,—,—,单体减益魔法主动
H022,索尔,稀有,重武者,SK003,横扫千军,稀有,—,—,—,范围物理主动，与古恩同技能但职业契合
H004,维克,传奇,剑盾卫士,SK010,神圣庇佑,传奇,SK009,钢铁意志,稀有,传奇保命技 + 危急减伤被动
H010,凯恩,传奇,狂战士,SK005,烈焰斩,传奇,SK004,狂怒,稀有,传奇火焰斩 + 低血狂暴被动
H014,伊芙,传奇,火系法师,SK020,死亡诅咒,传奇,SK019,破甲侵蚀,稀有,持续魔法伤害 + 破甲被动
